Datum,Zeit,Ort,Reh,Ricke,Rehbock,Kitz,Hase,Ricke_und_Kitz,Fuchs,Keiler,Bache,Frischlinge,Wildschwein
28/07/2017,18:40:00,Unter_den_Haeusern,0,1,0,0,1,0,0,0,0,0,0
28/07/2017,18:40:00,Steiler_Weg,0,0,0,1,0,0,0,0,0,0,0
28/07/2017,18:40:00,Bank,0,1,0,0,1,0,0,0,0,0,0
28/07/2017,18:40:00,Grillhuette,0,0,0,0,0,1,0,0,0,0,0
29/07/2017,19:10:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
29/07/2017,19:10:00,Steiler_Weg,0,0,0,1,0,0,0,0,0,0,0
29/07/2017,19:10:00,Grillhuette,1,1,1,0,0,0,1,0,0,0,0
30/07/2017,19:10:00,Unter_den_Haeusern,0,1,0,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Steiler_Weg,0,1,0,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Wegen_zur_Strasse,0,0,1,0,0,0,0,0,0,0,0
30/07/2017,19:10:00,Bank,1,2,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Obstgrundstueck,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Dollmann,0,1,0,0,0,0,0,0,0,0,0
31/07/2017,19:10:00,Clausen,0,0,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Steiler_Weg,0,1,0,0,1,0,0,0,0,0,0
31/07/2017,19:10:00,Grillhuette,0,1,1,3,0,0,0,0,0,0,0
01/08/2017,19:10:00,Steiler_Weg,1,0,0,0,0,0,0,0,0,0,0
01/08/2017,19:10:00,Bank,0,0,0,0,1,0,0,0,0,0,0
01/08/2017,19:10:00,Rehland,0,0,0,0,0,1,0,0,0,0,0
02/08/2017,19:40:00,Bart_Wingert,0,1,1,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Forstberg,0,2,0,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
02/08/2017,19:40:00,Rehland,0,1,0,0,0,1,0,0,0,0,0
02/08/2017,19:40:00,Schaefer_Wingert,0,1,0,0,0,0,0,0,0,0,0
03/08/2017,19:50:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
03/08/2017,19:50:00,Rohr,0,1,0,0,0,0,0,0,0,0,0
03/08/2017,19:50:00,Schlamberg,0,0,0,0,1,0,0,0,0,0,0
03/08/2017,19:50:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
04/08/2017,19:40:00,Harmsen,0,0,0,0,1,0,0,0,0,0,0
04/08/2017,19:40:00,Rohr,0,1,0,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
04/08/2017,19:40:00,Rehland,0,2,0,0,0,1,0,0,0,0,0
04/08/2017,19:40:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
05/08/2017,19:15:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
05/08/2017,19:15:00,Forstberg,0,1,1,0,1,1,0,0,0,0,0
05/08/2017,19:15:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
05/08/2017,19:15:00,Hochmess,0,0,0,0,1,0,0,0,0,0,0
05/08/2017,19:15:00,Rehland,0,0,0,0,1,2,0,0,0,0,0
06/08/2017,19:20:00,Forstberg,0,3,1,0,1,1,0,0,0,0,0
06/08/2017,19:20:00,Schlamberg,0,0,0,0,1,0,0,0,0,0,0
06/08/2017,19:20:00,Rehland,0,1,0,0,2,2,0,0,0,0,0
07/08/2017,19:45:00,Forstberg,0,2,1,0,1,0,0,0,0,0,0
07/08/2017,19:45:00,Schlamberg,0,0,1,0,0,0,0,0,0,0,0
07/08/2017,19:45:00,Rehland,0,2,1,2,1,0,0,0,0,0,0
08/08/2017,19:45:00,Bart_Wingert,1,0,0,0,0,0,0,0,0,0,0
08/08/2017,19:45:00,Forstberg,0,3,2,1,1,1,0,0,0,0,0
08/08/2017,19:45:00,Rehland,0,1,0,1,4,0,0,0,0,0,0
08/08/2017,19:45:00,Schaefer_Wingert,0,0,0,0,0,1,0,0,0,0,0
09/08/2017,19:25:00,Bart_Wingert,0,1,0,0,0,0,0,0,0,0,0
09/08/2017,19:25:00,Forstberg,0,2,1,0,1,0,0,0,0,0,0
09/08/2017,19:25:00,Rehland,0,0,0,1,2,1,0,0,0,0,0
10/08/2017,19:00:00,Bart_Wingert,0,0,0,0,0,1,0,0,0,0,0
10/08/2017,19:00:00,Forstberg,0,2,0,0,0,1,0,0,0,0,0
10/08/2017,19:00:00,Rehland,0,2,0,0,0,1,0,0,0,0,0
12/08/2017,18:55:00,Schaefer_Wingert,0,2,0,0,0,0,0,0,0,0,0
12/08/2017,18:55:00,Harmsen,0,1,0,0,0,0,0,0,0,0,0
12/08/2017,18:55:00,Ziegenmann_II,0,0,0,0,1,0,0,0,0,0,0
12/08/2017,18:55:00,Forstberg,0,1,0,0,0,0,0,0,0,0,0
