Name;Name Latein;Englisch;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Dorngrasmücke;Curruca communis;Whitethroat;01. 05. 2021;08:32:48;1;48,49086;8,98645;
Uferschwalbe;Riparia riparia;Sand Martin;01. 05. 2021;08:36:35;10;48,49356;8,98265;
Rauchschwalbe;Hirundo rustica;Barn Swallow;01. 05. 2021;08:36:51;6;48,49124;8,98618;
Haubentaucher;Podiceps cristatus;Great Crested Grebe;01. 05. 2021;08:38:09;2;48,49388;8,98164;
Klappergrasmücke;Curruca curruca;Lesser Whitethroat;01. 05. 2021;08:52:24;1;48,49136;8,9863;
Braunkehlchen;Saxicola rubetra;Whinchat;01. 05. 2021;09:19:12;1;48,49346;8,98235;
Flussregenpfeifer;Charadrius dubius;Little Ringed Plover;01. 05. 2021;09:28:42;1;48,50331;8,99385;
Steinschmätzer;Oenanthe oenanthe;Northern Wheatear;01. 05. 2021;09:32:33;1;48,49402;8,97224;
Pirol;Oriolus oriolus;Golden Oriole;01. 05. 2021;09:44:03;1;48,50051;8,97903;
Silberreiher;Ardea alba;Great White Egret;01. 05. 2021;09:45:01;1;48,49088;8,97811;
Kuckuck;Cuculus canorus;Cuckoo;01. 05. 2021;09:45:11;1;48,49087;8,9781;
Feldlerche;Alauda arvensis;Skylark;01. 05. 2021;09:52:21;4;48,50125;8,9673;
Mäusebussard;Buteo buteo;Common Buzzard;01. 05. 2021;09:52:33;2;48,49012;8,97624;
