Name;Name Latein;Englisch;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Kleinspecht;Dryobates minor;Lesser Spotted Woodpecker;09. 05. 2021;06:58:55;1;48,07071;9,60996;
Rohrammer;Schoeniclus schoeniclus;Reed Bunting;09. 05. 2021;07:08:28;1;48,0723;9,61235;
Sumpfrohrsänger;Acrocephalus palustris;Marsh Warbler;09. 05. 2021;07:22:38;1;48,06802;9,61753;
Braunkehlchen;Saxicola rubetra;Whinchat;09. 05. 2021;07:48:54;1;48,07816;9,61601;
Rohrweihe;Circus aeruginosus;Marsh Harrier;09. 05. 2021;08:03:30;2;48,06801;9,61754;
Blaukehlchen;Luscinia svecica;Bluethroat;09. 05. 2021;08:03:30;1;48,06801;9,61754;
Kolbenente;Netta rufina;Red-crested Pochard;09. 05. 2021;08:22:13;1;48,06852;9,61737;
Teichrohrsänger;Acrocephalus scirpaceus;Reed Warbler;09. 05. 2021;08:57:19;1;48,07941;9,61966;
Schwarzmilan;Milvus migrans;Black Kite;09. 05. 2021;09:05:50;1;48,07726;9,61439;
Schwarzmilan;Milvus migrans;Black Kite;09. 05. 2021;10:21:01;1;48,07469;9,61312;
Braunkehlchen;Saxicola rubetra;Whinchat;09. 05. 2021;10:21:27;1;48,07071;9,608;
Weißstorch;Ciconia ciconia;White Stork;09. 05. 2021;10:21:42;1;48,07059;9,608;
Schwarzspecht;Dryocopus martius;Black Woodpecker;09. 05. 2021;11:33:07;1;48,07069;9,60996;
