Name;Name Latein;Englisch;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Grünspecht;Picus viridis;Green Woodpecker;01. 02. 2021;08:24:21;1;48,50949;9,0685;
Kohlmeise;Parus major;Great Tit;01. 02. 2021;08:26:50;3;48,50926;9,06652;
Türkentaube;Streptopelia decaocto;Eurasian Collared-Dove;02. 02. 2021;08:45:56;2;48,51284;9,06674;
Kohlmeise;Parus major;Great Tit;02. 02. 2021;08:52:09;1;48,51073;9,06768;
Rabenkrähe;Corvus corone;Carrion Crow;02. 02. 2021;08:52:19;3;48,51069;9,06742;
Amsel;Turdus merula;Blackbird;02. 02. 2021;08:52:33;2;48,51076;9,06758;
Haussperling;Passer domesticus;House Sparrow;02. 02. 2021;08:53:17;10;48,51034;9,06798;
Haussperling;Passer domesticus;House Sparrow;02. 02. 2021;08:54:30;1;48,51026;9,06816;
Amsel;Turdus merula;Blackbird;02. 02. 2021;08:55:21;1;48,50998;9,06883;
Amsel;Turdus merula;Blackbird;02. 02. 2021;08:57:36;2;48,50917;9,06923;
Kohlmeise;Parus major;Great Tit;02. 02. 2021;08:57:46;2;48,50916;9,06936;
Türkentaube;Streptopelia decaocto;Eurasian Collared-Dove;02. 02. 2021;08:58:07;2;48,50916;9,06952;
Haussperling;Passer domesticus;House Sparrow;02. 02. 2021;08:59:22;1;48,50917;9,06925;
Kohlmeise;Parus major;Great Tit;02. 02. 2021;09:01:10;4;48,50924;9,06839;
Grünspecht;Picus viridis;Green Woodpecker;02. 02. 2021;09:03:05;1;48,50926;9,06683;
Kohlmeise;Parus major;Great Tit;02. 02. 2021;09:07:39;1;48,50881;9,06903;
Rabenkrähe;Corvus corone;Carrion Crow;02. 02. 2021;09:09:46;2;48,51349;9,07091;
Buchfink;Fringilla coelebs;Chaffinch;02. 02. 2021;09:11:10;1;48,50809;9,06951;
Buchfink;Fringilla coelebs;Chaffinch;02. 02. 2021;09:12:07;1;48,50789;9,06928;
Buchfink;Fringilla coelebs;Chaffinch;02. 02. 2021;09:13:10;1;48,50786;9,06951;
Kohlmeise;Parus major;Great Tit;02. 02. 2021;09:14:22;3;48,50825;9,0697;
Feldsperling;Passer montanus;Tree Sparrow;02. 02. 2021;09:16:59;2;48,51891;9,07838;
Blaumeise;Cyanistes caeruleus;Blue Tit;02. 02. 2021;09:19:28;3;48,50802;9,07034;
Elster;Pica pica;Magpie;02. 02. 2021;09:19:37;1;48,50789;9,07078;
Wintergoldhähnchen;Regulus regulus;Goldcrest;02. 02. 2021;09:22:07;1;48,5076;9,07056;
Blaumeise;Cyanistes caeruleus;Blue Tit;02. 02. 2021;09:25:44;1;48,50766;9,0705;
Elster;Pica pica;Magpie;02. 02. 2021;09:29:56;2;48,50767;9,07173;
Rotkehlchen;Erithacus rubecula;Robin;02. 02. 2021;09:30:08;1;48,50765;9,07197;
Zaunkönig;Troglodytes troglodytes;Wren;02. 02. 2021;09:34:29;1;48,5091;9,07146;
Haussperling;Passer domesticus;House Sparrow;02. 02. 2021;09:34:40;10;48,5087;9,07141;
Buchfink;Fringilla coelebs;Chaffinch;04. 02. 2021;07:54:29;2;48,51083;9,0676;
Rotkehlchen;Erithacus rubecula;Robin;04. 02. 2021;08:04:34;1;48,50942;9,06954;
Türkentaube;Streptopelia decaocto;Eurasian Collared-Dove;04. 02. 2021;08:04:57;2;48,50927;9,06952;
Amsel;Turdus merula;Blackbird;04. 02. 2021;08:05:39;5;48,50926;9,06963;
Elster;Pica pica;Magpie;04. 02. 2021;08:07:34;2;48,50914;9,0691;
Erlenzeisig;Spinus spinus;Siskin;04. 02. 2021;08:09:28;4;48,50923;9,0687;
Erlenzeisig;Spinus spinus;Siskin;04. 02. 2021;07:59:15;10;48,51037;9,0682;
Kohlmeise;Parus major;Great Tit;04. 02. 2021;08:12:53;1;48,50927;9,06692;
