Name;Name Latein;Englisch;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Schwarzkehlchen;Saxicola rubicola;Stonechat;03. 04. 2021;07:59:39;1;49,60204;8,18678;
Grauammer;Emberiza calandra;Corn Bunting;03. 04. 2021;08:11:43;1;49,60203;8,18688;
Blaukehlchen;Luscinia svecica;Bluethroat;03. 04. 2021;08:33:17;1;49,60205;8,18682;
Bluthänfling;Linaria cannabina;Linnet;03. 04. 2021;08:41:17;5;49,60657;8,22053;
Goldammer;Emberiza citrinella;Yellowhammer;03. 04. 2021;08:41:30;1;49,60662;8,22053;
Mehlschwalbe;Delichon urbicum;House Martin;03. 04. 2021;08:54:29;5;49,61682;8,20651;
Schafstelze;Motacilla flava;Yellow Wagtail;03. 04. 2021;09:09:56;7;49,60206;8,18682;
Kiebitz;Vanellus vanellus;Lapwing;03. 04. 2021;09:47:44;1;49,61681;8,20653;
Schwarzkehlchen;Saxicola rubicola;Stonechat;06. 04. 2021;08:15:24;2;49,60451;8,21961;
Schafstelze;Motacilla flava;Yellow Wagtail;06. 04. 2021;08:17:29;3;49,60463;8,21954;
Jagdfasan;Phasianus colchicus;Pheasant;13. 05. 2021;06:16:52;1;49,63077;8,22125;
Nachtigall;Luscinia megarhynchos;Nightingale;13. 05. 2021;06:17:13;1;49,60371;8,22447;
Teichhuhn;Gallinula chloropus;Moorhen;13. 05. 2021;06:30:38;1;49,61653;8,21505;
Brandgans;Tadorna tadorna;Common Shelduck;13. 05. 2021;06:32:44;5;49,60357;8,21918;
Orpheusspötter;Hippolais polyglotta;Melodious Warbler;13. 05. 2021;06:48:39;1;49,63084;8,22126;
Kiebitz;Vanellus vanellus;Lapwing;13. 05. 2021;07:13:13;1;49,60593;8,221;
Eisvogel;Alcedo atthis;Kingfisher;13. 05. 2021;07:19:03;1;49,60659;8,22056;
Rohrweihe;Circus aeruginosus;Marsh Harrier;13. 05. 2021;07:56:41;3;49,61699;8,2066;
Dorngrasmücke;Curruca communis;Whitethroat;13. 05. 2021;08:05:44;1;49,60903;8,22241;
Kormoran;Phalacrocorax carbo;Cormorant;13. 05. 2021;08:18:50;2;49,60251;8,18042;
Grauammer;Emberiza calandra;Corn Bunting;13. 05. 2021;08:43:13;1;49,60841;8,1892;
