Name;Name Latein;Finnisch;Isländisch;Englisch;Schwedisch;Dänisch;Italienisch;Lettisch;Slowakisch;Niederländisch;Französisch;Polnisch;Chinesisch (traditionell);Portugiesisch;Russisch;Spanisch;Japanisch;Norwegisch;Portugiesisch (Brasilien);Luxemburgisch;Tschechisch;Japanisch (rōmaji);Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Stieglitz;Carduelis carduelis;tikli;Þistilfinka;Goldfinch;Steglits;Stillits;Cardellino eurasiatico;dadzītis, ciglis;stehlík obyčajný;Putter;Chardonneret élégant;szczygieł;红额金翅雀;Pintassilgo;Черноголовый щегол;Jilguero Europeo;ゴシキヒワ;Stillits;;;stehlík obecný;goshikihiwa;08. 05. 2021;07:22:46;1;48,48437;8,99425;
Rauchschwalbe;Hirundo rustica;haarapääsky;Landsvala;Barn Swallow;Ladusvala;Landsvale;Rondine comune;bezdelīga;lastovička obyčajná;Boerenzwaluw;Hirondelle rustique;dymówka;家燕;Andorinha-das-chaminés;Ласточка;Golondrina Común;ツバメ;Låvesvale;;;vlaštovka obecná;tsubame;08. 05. 2021;07:23:15;6;48,48491;8,99347;
Wacholderdrossel;Turdus pilaris;räkättirastas;Gráþröstur;Fieldfare;Björktrast;Sjagger;Cesena;pelēkais strazds, pļers;drozd čvíkota;Kramsvogel;Grive litorne;kwiczoł;田鸫;Tordo-zornal;Рябинник;Zorzal Real;ノハラツグミ;Gråtrost;;;drozd kvíčala;noharatsugumi;08. 05. 2021;07:24:01;1;48,48455;8,99404;
Blässhuhn;Fulica atra;nokikana;Bleshæna;Coot;Sothöna;Blishøne;Folaga;laucis;lyska čierna;Meerkoet;Foulque macroule;łyska;白骨顶;Galeirão-comum;Лысуха;Focha Común;オオバン;Sothøne;;;lyska černá;ooban;08. 05. 2021;07:30:30;1;48,48495;8,99318;
Reiherente;Aythya fuligula;tukkasotka;Skúfönd;Tufted Duck;Vigg;Troldand;Moretta eurasiatica;cekulpile;chochlačka vrkočatá;Kuifeend;Fuligule morillon;czernica;凤头潜鸭;Zarro-negrinha;Хохлатая чернеть;Porrón Moñudo;キンクロハジロ;Toppand;;;polák chocholačka;kinkurohajiro;08. 05. 2021;07:41:18;2;48,48619;8,99193;
Tafelente;Aythya ferina;punasotka;Skutulönd;Pochard;Brunand;Taffeland;Moriglione eurasiatico;brunkaklis, raudava;chochlačka sivá;Tafeleend;Fuligule milouin;głowienka;红头潜鸭;Zarro-comum;Красноголовый нырок;Porrón Europeo;ホシハジロ;Taffeland;;;polák velký;hoshihajiro;08. 05. 2021;07:49:40;2;48,48492;8,98862;
Haubentaucher;Podiceps cristatus;silkkiuikku;Toppgoði;Great Crested Grebe;Skäggdopping;Toppet Lappedykker;Svasso maggiore;cekuldukuris;potápka chochlatá;Fuut;Grèbe huppé;perkoz dwuczuby;凤头䴙䴘;Mergulhão-de-crista;Чомга;Somormujo Lavanco;カンムリカイツブリ;Toppdykker;;;potápka roháč;kammurikaitsuburi;08. 05. 2021;07:51:11;2;48,48499;8,98836;
Klappergrasmücke;Curruca curruca;hernekerttu;Netlusöngvari;Lesser Whitethroat;Ärtsångare;Gærdesanger;Bigiarella;gaišais ķauķis;penica popolavá;Braamsluiper;Fauvette babillarde;piegża;白喉林莺;Papa-amoras-cinzento;Славка-завирушка;Curruca Zarcerilla;コノドジロムシクイ;Møller;;;pěnice pokřovní;konodojiromushikui;08. 05. 2021;07:59:18;1;48,48463;8,98763;
Heckenbraunelle;Prunella modularis;rautiainen;Runntítla;Dunnock;Järnsparv;Jernspurv;Passera scopaiola;peļkājīte;vrchárka modrá;Heggenmus;Accenteur mouchet;pokrzywnica;林岩鹨;Ferreirinha-comum;Лесная завирушка;Acentor Común;ヨアロッパカヤクグリ;Jernspurv;;;pěvuška modrá;yo-roppakayakuguri;08. 05. 2021;08:09:47;1;48,48457;8,98773;
Dorngrasmücke;Curruca communis;pensaskerttu;Þyrnisöngvari;Whitethroat;Törnsångare;Tornsanger;Sterpazzola;brūnspārnu ķauķis;penica obyčajná;Grasmus;Fauvette grisette;cierniówka;灰白喉林莺;Papa-amoras-comum;Серая славка;Curruca Zarcera;ノドジロムシクイ;Tornsanger;;;pěnice hnědokřídlá;nodojiromushikui;08. 05. 2021;08:23:54;1;48,48458;8,98772;
Nachtigall;Luscinia megarhynchos;etelänsatakieli;Næturgali;Nightingale;Sydnäktergal;Sydlig Nattergal;Usignolo;rietumu lakstīgala;slávik obyčajný;Nachtegaal;Rossignol philomèle;słowik rdzawy;新疆歌鸲;Rouxinol-comum;Южный соловей;Ruiseñor Común;サヨナキドリ;Sørnattergal;;;slavík obecný;sayonakidori;08. 05. 2021;08:25:12;1;48,48458;8,98773;
Dorngrasmücke;Curruca communis;pensaskerttu;Þyrnisöngvari;Whitethroat;Törnsångare;Tornsanger;Sterpazzola;brūnspārnu ķauķis;penica obyčajná;Grasmus;Fauvette grisette;cierniówka;灰白喉林莺;Papa-amoras-comum;Серая славка;Curruca Zarcera;ノドジロムシクイ;Tornsanger;;;pěnice hnědokřídlá;nodojiromushikui;08. 05. 2021;08:51:01;3;48,48457;8,98771;
