Name;Name Latein;Datum;Uhrzeit;Anzahl;Latitude;Longitude;Notizen
Girlitz;Serinus serinus;23. 01. 2021;13:57:05;1;48,53727;9,09152;
Eichelhäher;Garrulus glandarius;23. 01. 2021;14:15:02;1;48,52534;9,14815;
Grünspecht;Picus viridis;23. 01. 2021;14:27:08;1;48,52561;9,0828;
Elster;Pica pica;23. 01. 2021;14:27:24;1;48,53958;9,10358;
Turmfalke;Falco tinnunculus;23. 01. 2021;14:34:13;2;48,52816;9,14201;
Weidenmeise;Poecile montanus;23. 01. 2021;14:37:03;1;48,54061;9,10583;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;14:47:55;3;48,5286;9,1446;
Kohlmeise;Parus major;23. 01. 2021;14:48:13;2;48,54499;9,10924;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;14:50:55;1;48,52891;9,14332;
Buntspecht;Dendrocopos major;23. 01. 2021;14:57:46;1;48,53119;9,10058;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;14:58:28;2;48,54212;9,11306;
Mittelspecht;Dendrocoptes medius;23. 01. 2021;15:00:39;1;48,54217;9,11303;
Waldbaumläufer;Certhia familiaris;23. 01. 2021;15:09:26;1;48,54403;9,10321;
Schwanzmeise;Aegithalos caudatus;23. 01. 2021;15:10:42;3;48,54025;9,10951;
Buntspecht;Dendrocopos major;23. 01. 2021;15:16:01;3;48,53162;9,11091;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;15:16:10;2;48,54051;9,10851;
Kohlmeise;Parus major;23. 01. 2021;15:16:16;2;48,54031;9,10828;
Amsel;Turdus merula;23. 01. 2021;15:16:51;2;48,54028;9,10826;
Gartenbaumläufer;Certhia brachydactyla;23. 01. 2021;15:19:14;1;48,53708;9,10927;
Buntspecht;Dendrocopos major;23. 01. 2021;15:20:32;2;48,5405;9,10812;
Rabenkrähe;Corvus corone;23. 01. 2021;15:20:55;2;48,54073;9,10815;
Rotkehlchen;Erithacus rubecula;23. 01. 2021;16:00:02;1;48,52562;9,07741;
Rotkehlchen;Erithacus rubecula;23. 01. 2021;16:08:19;1;48,52933;9,09585;
Amsel;Turdus merula;23. 01. 2021;16:08:30;1;48,53071;9,09556;
Wacholderdrossel;Turdus pilaris;23. 01. 2021;16:11:35;1;48,53006;9,09466;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;16:13:24;3;48,52978;9,09429;
Kohlmeise;Parus major;23. 01. 2021;16:13:30;2;48,52985;9,09415;
Kohlmeise;Parus major;23. 01. 2021;16:14:25;1;48,52986;9,0943;
Kohlmeise;Parus major;23. 01. 2021;16:17:15;1;48,52894;9,09556;
Kohlmeise;Parus major;23. 01. 2021;16:21:07;1;48,52835;9,09079;
Buchfink;Fringilla coelebs;23. 01. 2021;16:22:59;4;48,52748;9,08955;
Höckerschwan;Cygnus olor;23. 01. 2021;16:24:32;1;48,52778;9,0902;
Kohlmeise;Parus major;23. 01. 2021;16:27:38;1;48,52694;9,08913;
Kohlmeise;Parus major;23. 01. 2021;16:29:16;1;48,5263;9,08825;
Kohlmeise;Parus major;23. 01. 2021;16:29:35;2;48,52628;9,08834;
Buchfink;Fringilla coelebs;23. 01. 2021;16:30:39;2;48,5263;9,08814;
Amsel;Turdus merula;23. 01. 2021;16:30:46;1;48,52606;9,08784;
Haussperling;Passer domesticus;23. 01. 2021;16:30:56;1;48,52609;9,08799;
Haussperling;Passer domesticus;23. 01. 2021;16:31:05;1;48,52608;9,08781;
Amsel;Turdus merula;23. 01. 2021;16:31:56;2;48,52592;9,08684;
Buchfink;Fringilla coelebs;23. 01. 2021;16:32:05;1;48,52576;9,08735;
Eisvogel;Alcedo atthis;23. 01. 2021;16:32:45;2;48,52595;9,08703;
Amsel;Turdus merula;23. 01. 2021;16:34:52;1;48,52605;9,08721;
Feldsperling;Passer montanus;23. 01. 2021;16:45:30;15;48,52485;9,08538;
Grauspecht;Picus canus;23. 01. 2021;16:50:02;1;48,52455;9,08494;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;16:50:11;1;48,52453;9,08501;
Blaumeise;Cyanistes caeruleus;23. 01. 2021;16:51:13;1;48,52456;9,08498;
Kohlmeise;Parus major;23. 01. 2021;16:51:53;2;48,52419;9,08433;
Buchfink;Fringilla coelebs;23. 01. 2021;16:52:03;1;48,52402;9,08428;
Wintergoldhähnchen;Regulus regulus;23. 01. 2021;17:01:00;1;48,52221;9,08193;
Buchfink;Fringilla coelebs;23. 01. 2021;17:03:31;1;48,52224;9,08196;
Rabenkrähe;Corvus corone;23. 01. 2021;17:06:59;10;48,52051;9,07923;
Amsel;Turdus merula;23. 01. 2021;17:17:10;1;48,51576;9,07348;
Amsel;Turdus merula;23. 01. 2021;17:19:18;1;48,51606;9,07327;
